Series Name,Series Code,Level,Level2,Country Name,Country Code,YR1999 [YR1999],YR2000 [YR2000],YR2001 [YR2001],YR2002 [YR2002],YR2003 [YR2003],YR2004 [YR2004],YR2005 [YR2005],YR2006 [YR2006],YR2007 [YR2007],YR2008 [YR2008],YR2009 [YR2009],YR2010 [YR2010],YR2011 [YR2011],YR2012 [YR2012],YR2013 [YR2013],YR2014 [YR2014],YR2015 [YR2015],YR2016 [YR2016],YR2017 [YR2017],YR2018 [YR2018],YR2019 [YR2019]
Education services outreach,FA.MIX.EDCO,Brazil,,Extracredi (102776),102776,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Brazil,,Fácil SCM (102777),102777,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Brazil,,ICC BluSol (100201),100201,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Brazil,,ICC Central (102852),102852,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Brazil,,ICC Conquista Solidária (101713),101713,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Brazil,,ICC Itabuna Solidaria (102850),102850,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Brazil,,ICC MAU-CE (102848),102848,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Brazil,,ICC Portosol (101716),101716,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Brazil,,Instituto Estrela (102375),102375,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Brazil,,Lander (115222),115222,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Brazil,,MCS Crédito Solidário (102856),102856,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Brazil,,Profomento (102943),102943,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Brazil,,Rede Novo Sol (102832),102832,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Brazil,,Santander Microcrédito (102946),102946,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Brazil,,São Paulo Confia (101714),101714,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Brazil,,SOCIALCRED (102953),102953,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Brazil,,SOCRED (103789),103789,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Chile,,BancoEstado (100493),100493,..,..,..,..,..,..,..,..,..,..,..,55,..,2255,..,1535,1200,1853,..,..,..
Education services outreach,FA.MIX.EDCO,Chile,,BanDesarrollo Microempresas (100812),100812,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Chile,,BanIgualdad (102746),102746,..,..,..,..,..,..,..,..,..,..,..,3283,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Chile,,Emprende Microfinanzas (101107),101107,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Chile,,FINAM Chile (102745),102745,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,583,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Chile,,Fondo Esperanza (101475),101475,..,..,..,..,..,..,..,..,..,..,..,0,4497,79769,..,91858,95041,110136,116134,..,..
Education services outreach,FA.MIX.EDCO,Chile,,Oriencoop (101471),101471,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Colombia,,Actuar Caldas (101473),101473,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..,269,..,..,..,..
Education services outreach,FA.MIX.EDCO,Colombia,,Actuar Quindio (101463),101463,..,..,..,..,..,..,..,..,..,..,..,..,..,79,..,1324,..,1536,..,..,..
Education services outreach,FA.MIX.EDCO,Colombia,,Actuar Tolima (100659),100659,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6264,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Colombia,,AGAPE (100370),100370,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Colombia,,Alcaravan (143097),143097,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Colombia,,AVANSAR (152757),152757,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Colombia,,AYF (122399),122399,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Colombia,,Bancamía (102657),102657,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Colombia,,Banco Caja Social (101050),101050,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Colombia,,Banco Mundo Mujer (170629),170629,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4507,512351,..,..,..
Education services outreach,FA.MIX.EDCO,Colombia,,Banco Popular Colombia (102504),102504,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Colombia,,Banco W (100793),100793,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Colombia,,Bancolombia Microfinanzas (101464),101464,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Colombia,,BanCompartir (100713),100713,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11899,..,13788,..
Education services outreach,FA.MIX.EDCO,Colombia,,CMM Bogotá (100813),100813,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Colombia,,CMM Medellín (100326),100326,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Colombia,,COFINCAFE (102218),102218,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Colombia,,COMERCIACOOP (106061),106061,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Colombia,,Comultrasan (101476),101476,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Colombia,,Confiar (106076),106076,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9699,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Colombia,,Contactar (100381),100381,..,..,..,..,..,..,..,..,..,..,..,0,7904,..,..,10869,19490,29385,18864,19248,..
Education services outreach,FA.MIX.EDCO,Colombia,,Coomultagro (112658),112658,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Colombia,,Cooperativa Microempresas de Colombia (111781),111781,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100373,..,..,..,..
Education services outreach,FA.MIX.EDCO,Colombia,,COOSERFIN (136004),136004,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Colombia,,COOTREGUA (106090),106090,..,..,..,..,..,..,..,..,..,..,..,191,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Colombia,,Crezcamos (102554),102554,..,..,..,..,..,..,..,..,..,..,..,..,..,125,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Colombia,,ECLOF Colombia (106086),106086,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Colombia,,Ecofin (150709),150709,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Colombia,,Encumbra (169389),169389,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Colombia,,Express Microfinanzas SAS (170162),170162,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Colombia,,FASE (106078),106078,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Colombia,,FiMSA (102399),102399,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Colombia,,FMSD (100266),100266,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1273,..,6217,2112,..,..
Education services outreach,FA.MIX.EDCO,Colombia,,Fomentamos (106068),106068,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Colombia,,Fundaci¢n Amanecer (101477),101477,..,..,..,..,..,..,..,..,..,..,..,20,..,483,..,..,11315,0,..,..,..
Education services outreach,FA.MIX.EDCO,Colombia,,Fundación Delamujer (100758),100758,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,24369,31803,59127,55554,50336,..
Education services outreach,FA.MIX.EDCO,Colombia,,Fundación Mundo Mujer (100542),100542,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Colombia,,FUNDESAN (113414),113414,..,..,..,..,..,..,..,..,..,..,..,292,..,..,..,..,851,..,..,..,..
Education services outreach,FA.MIX.EDCO,Colombia,,FUNDESCAT (150374),150374,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Colombia,,FUNDESMAG (106095),106095,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Colombia,,Giros y Finanzas (102258),102258,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Colombia,,Interactuar (100340),100340,..,..,..,..,..,..,..,..,..,..,..,5389,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Colombia,,Microempresas de Colombia (101788),101788,..,..,..,..,..,..,..,..,..,..,..,412,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Colombia,,OI Colombia (167058),167058,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4383,10533,4989,1857,824,..
Education services outreach,FA.MIX.EDCO,Colombia,,OILA (112657),112657,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Colombia,,OLC (100573),100573,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Colombia,,ProCredit - COL (102117),102117,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Colombia,,Producir (115590),115590,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Costa Rica,,ACORDE (101530),101530,..,..,..,..,..,..,..,..,..,..,..,86,..,..,..,2173,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Costa Rica,,ADAPTE (101534),101534,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Costa Rica,,ADESTRA (101531),101531,..,..,..,..,..,..,..,..,..,..,..,220,..,15,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Costa Rica,,ADRI (100324),100324,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Costa Rica,,APACOOP (101468),101468,..,..,..,..,..,..,..,..,..,..,..,57,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Costa Rica,,APIAGOL (101542),101542,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Costa Rica,,ASOPROSANRAMON (101535),101535,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Costa Rica,,CEMPRODECA (101550),101550,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Costa Rica,,CREDIMUJER (100744),100744,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Costa Rica,,EDESA (102129),102129,..,..,..,..,..,..,..,..,..,..,..,751,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Costa Rica,,FIDERPAC (101556),101556,..,..,..,..,..,..,..,..,..,..,..,450,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Costa Rica,,FOMIC (100481),100481,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Costa Rica,,FUDECOSUR (101564),101564,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,288,588,..
Education services outreach,FA.MIX.EDCO,Costa Rica,,Fundación Mujer (100742),100742,..,..,..,..,..,..,..,..,..,..,..,331,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Costa Rica,,FUNDEBASE (101565),101565,..,..,..,..,..,..,..,..,..,..,..,..,..,27,30,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Costa Rica,,FUNDECO (100228),100228,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Costa Rica,,FUNDECOCA (100204),100204,..,..,..,..,..,..,..,..,..,..,..,..,..,395,..,676,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Costa Rica,,GRAMEEN COSTA RICA (102121),102121,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Dominican Republic,,ALNAP (120095),120095,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Dominican Republic,,Banco ADEMI (100347),100347,..,..,..,..,..,..,..,..,..,..,..,835,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Dominican Republic,,Banco ADOPEM (100753),100753,..,..,..,..,..,..,..,..,..,..,..,6123,..,6058,..,4548,4170,2631,..,..,..
Education services outreach,FA.MIX.EDCO,Dominican Republic,,BANFONDESA (100285),100285,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Dominican Republic,,CDD (120098),120098,..,..,..,..,..,..,..,..,..,..,..,0,..,15,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Dominican Republic,,COOP-ASPIRE (100319),100319,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Dominican Republic,,Crédito Amigo - Banco BHD León (120105),120105,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Dominican Republic,,ECLOF - Dominicana (120101),120101,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1269,..,1269,..,..
Education services outreach,FA.MIX.EDCO,Dominican Republic,,FDD (101431),101431,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Dominican Republic,,FIHOGAR (176351),176351,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Dominican Republic,,FONDAGRO (169026),169026,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Dominican Republic,,Fundación Esperanza (101856),101856,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Dominican Republic,,Fundación San Miguel (101778),101778,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Dominican Republic,,FUNDAPEC (169071),169071,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Dominican Republic,,Motor Crédito (170671),170671,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Dominican Republic,,MUDE - DOM (120104),120104,..,..,..,..,..,..,..,..,..,..,..,10550,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Dominican Republic,,SURFUTURO (120102),120102,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Dominican Republic,,TUMUJER (120097),120097,..,..,..,..,..,..,..,..,..,..,..,..,..,315,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Dominican Republic,,VisionFund - DOM (115591),115591,..,..,..,..,..,..,..,..,..,..,..,..,..,251,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Ecuador,,Banco COOPNACIONAL (101623),101623,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Ecuador,,Banco D-Miro (100397),100397,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14603,1766,5488,..,..
Education services outreach,FA.MIX.EDCO,Ecuador,,Banco Solidario (100298),100298,..,..,..,..,..,..,..,..,..,..,..,..,3600,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Ecuador,,Banco VisionFund Ecuador (100441),100441,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,29207,28673,..,..
Education services outreach,FA.MIX.EDCO,Ecuador,,BANCODESARROLLO (100190),100190,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Ecuador,,CACMU (101735),101735,..,..,..,..,..,..,..,..,..,..,..,850,500,..,..,..,..,342,1148,..,..
Education services outreach,FA.MIX.EDCO,Ecuador,,CACPE Pastaza (115835),115835,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,883,2262,3133,..,..
Education services outreach,FA.MIX.EDCO,Ecuador,,CACPE Yantzaza (101481),101481,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Ecuador,,CACPE ZAMORA (170163),170163,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1000,..,..
Education services outreach,FA.MIX.EDCO,Ecuador,,CACPECO Ltda. (116371),116371,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Ecuador,,CCC (100583),100583,..,..,..,..,..,..,..,..,..,..,..,1422,1213,..,..,1257,..,..,1093,..,..
Education services outreach,FA.MIX.EDCO,Ecuador,,CEPESIU (100667),100667,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Ecuador,,CESOL ACJ (100559),100559,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Ecuador,,COAC 23 de Julio (115848),115848,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3751,623,..,..
Education services outreach,FA.MIX.EDCO,Ecuador,,COAC 29 de Octubre (152758),152758,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,246,379,..,..
Education services outreach,FA.MIX.EDCO,Ecuador,,COAC 4 de Octubre (102438),102438,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Ecuador,,COAC 9 DE OCTUBRE LTDA. (115839),115839,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Ecuador,,COAC Acción Rural (100570),100570,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Ecuador,,COAC Alianza Minas (178529),178529,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Ecuador,,COAC Ambato (102462),102462,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Ecuador,,COAC Artesanos (101737),101737,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Ecuador,,COAC Atuntaqui (115223),115223,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1420,..,..,..,..
Education services outreach,FA.MIX.EDCO,Ecuador,,COAC Chibuleo (143222),143222,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5351,4436,..,..
Education services outreach,FA.MIX.EDCO,Ecuador,,COAC Chone (101638),101638,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,125,1509,..,..
Education services outreach,FA.MIX.EDCO,Ecuador,,"COAC Construcción, Comercio y Producción (172802)",172802,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Ecuador,,COAC Esperanza y Progreso del Valle (102202),102202,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Ecuador,,COAC Fernando Daquilema (102437),102437,..,..,..,..,..,..,..,..,..,..,..,1083,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Ecuador,,COAC Fondvida (101799),101799,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Ecuador,,COAC Guaranda (115840),115840,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30,..,..,..,..
Education services outreach,FA.MIX.EDCO,Ecuador,,COAC Huaycopungo (101738),101738,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Ecuador,,COAC Jardín Azuayo (100389),100389,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,636,923,8442,..,..
Education services outreach,FA.MIX.EDCO,Ecuador,,COAC JEP (101621),101621,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Ecuador,,COAC Kullki Wasi (101640),101640,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6300,6952,5040,..,..
Education services outreach,FA.MIX.EDCO,Ecuador,,COAC La Benéfica (102350),102350,..,..,..,..,..,..,..,..,..,..,..,..,1400,..,..,..,946,960,1200,..,..
Education services outreach,FA.MIX.EDCO,Ecuador,,COAC La Merced (100432),100432,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Ecuador,,COAC Lucha Campesina (168987),168987,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Ecuador,,COAC Luz del Valle (101639),101639,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Ecuador,,COAC Mego (102259),102259,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Ecuador,,COAC Minga (104112),104112,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Ecuador,,COAC Mushuc Runa (100730),100730,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Ecuador,,COAC Nueva Huancavilca (143223),143223,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,320,..,..,..
Education services outreach,FA.MIX.EDCO,Ecuador,,COAC Oscus (102260),102260,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,550,..,..,..
Education services outreach,FA.MIX.EDCO,Ecuador,,COAC Pablo Muñoz Vega (115853),115853,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5150,1260,..,..
Education services outreach,FA.MIX.EDCO,Ecuador,,COAC Padre Julian Lorente (172803),172803,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100,..,..
Education services outreach,FA.MIX.EDCO,Ecuador,,COAC Padre Vicente (104191),104191,..,..,..,..,..,..,..,..,..,..,..,3792,425,..,..,..,..,1321,1614,..,..
Education services outreach,FA.MIX.EDCO,Ecuador,,COAC Pallatanga (104113),104113,..,..,..,..,..,..,..,..,..,..,..,240,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Ecuador,,COAC POLICIA NACIONAL (176643),176643,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5300,2327,..,..
Education services outreach,FA.MIX.EDCO,Ecuador,,COAC Riobamba (115856),115856,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Ecuador,,COAC Sac Aiet (100530),100530,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Ecuador,,COAC San Antonio (102182),102182,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Ecuador,,COAC San Gabriel (102272),102272,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Ecuador,,COAC San José (100596),100596,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,294,260,498,..,..
Education services outreach,FA.MIX.EDCO,Ecuador,,COAC San Juan de Cotogchoa (178530),178530,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Ecuador,,COAC Santa Ana (102196),102196,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Education services outreach,FA.MIX.EDCO,Ecuador,,COAC Santa Anita (101739),101739,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,74,..,..
